avar_word,russian_translations,english_translations,examples
измур гIадаб,БАЙКОВЫЙ,,
измуралъулаб,БАЙКОВЫЙ,,
империализмалда данде чIараб,АНТИИМПЕРИАЛИСТИ ЧЕСКИЙ,,
ингилисав,АНГЛИЧАНИН,,
ингилисазулаб,АНГЛИЙСКИЙ,,
ингилисай,АНГЛИЧАНКА,,
ингилисал,АНГЛИЧАНЕ,,
ирга щвараблъун букIин,АКТУАЛЬНОСТЬ,,
искусствоялде машгъулав чи,АРТИСТ,,
историялда данде кколареб,АНТИИСТОРИЧЕСКИЙ,,
историялда данде чIараб,АНТИИСТОРИЧЕСКИЙ,,
историялда рекъолареб,АНТИИСТОРИЧЕСКИЙ,,
ихтилат гьабизе,БАЛАГУРИТЬ,,
ихтилатчи,БАЛАГУР,,
ицидул,АНТРАЦИТОВЫЙ,,
кагъатгIарац,АССИГНАЦИЯ,,
канчIбагIараб,АЛЫЙ,,
канчIбагIарлъизе  билбагIарлъун бихьизе,АЛЕТЬ,,
канчIбагIарлъун бихьизе,АЛЕТЬ,,
картIахараб,АЖУРНЫЙ,,
кваниде гъира,АППЕТИТ,,
кваниде хьул,АППЕТИТ,,
кваридасан хьвадулев чи,БАЛАНСЁР,,
квекIен,БАРЬЕР,,
квен,БАЛКА,,
квен бокьи,АППЕТИТ,,
кверхъахI,БАРИН,,
квешаб,АГРЕССИВНОСТЬ,,
кем-чем веццаризе,БАХВАЛИТЬСЯ,,
кем-чем хурхен лъугьине,АССОЦИИРОВАТЬСЯ,,
киназдаго лъалеб,БАНАЛЬНЫЙ,,
киналго тIаделъун,АВРАЛЬНЫЙ,,
кого ахх бачине,БАЮКАТЬ,,
кого гогьдаризавизе  баловаться,БАЛОВАТЬ,,
колониализмалда данде чIараб,АНТИКОЛОНИАЛЬНЫЙ,,
кому ассистентлъи гьабизе,АССИСТИРОВАТЬ,,
космонавт,АСТРОНАВТ,,
космонавтика,АСТРОНАВТИКА,,
коунизмалда данде чIараб,АНТИКОУНИСТИЧЕСКИЙ,,
кочIода яги кьурдиялда цадахъ музыка бачине,АККОМПАНИРОВАТЬ,,
кризисалда данде бугеб,АНТИКРИЗИСНЫЙ,,
кIалкIучI,БАБОЧКА,,
кIамури  гъапу,АРКА,,
кIвар бугеблъун,АКТУАЛЬНОСТЬ,,
кIибикьизабураб мегеж,БАКЕНБАРДЫ,,
кIодо,БАБКА,,
кIодо,БАБУШКА,,
кIолкIона,АЛЫЧА,,
кIолкIонадул,АЛЫЧОВЫЙ,,
кIоркIони,АЛЫЧА,,
кIоркIонидул,АЛЫЧОВЫЙ,,
кIотин,АНЕСТЕЗИЯ,,
кIотинабизе,АНЕСТЕЗИРОВАТЬ,,
кIудияб махщалида гьабулеб,АРТИСТИЧЕСКИЙ,,
кIудияв кашиш,АРХИЕПИСКОП,,
кIудияй эбел,БАБУШКА,,
куй,БАРАН,,
кумек гьабизе,АССИСТИРОВАТЬ,,
кьабана,БАЦ,,
кьагIрил,БАРАШКОВЫЙ,,
кьал  хъуй бугеб дагIба-рагIи,БАТАЛИЯ,,
кьвагьана,БАЦ,,
кьегIер,БАРАШЕК,,
кьочIое босизе,БАЗИРОВАТЬ,,
кьучI,БАЗА,,
кьучI  база,БАЗА,,
кьучIаб,БАЗОВЫЙ,,
кьучIаб,БАЗИСНЫЙ,,
кьучIаблъун гьаби,АРГУМЕНТАЦИЯ,,
кьучIлъун лъугьине,БАЗИРОВАТЬСЯ,,
къабихIаб,АМОРАЛЬНЫЙ,,
къадру,АВТОРИТЕТ,,
къадру бугев,АВТОРИТЕТНЫЙ,,
къадруяб,АВТОРИТЕТНЫЙ,,
къайи-къоно  гIала-гъважа,БАРАХЛО,,
къайидул тайпа,АРТИКУЛ,,
къали,БАРАБАН,,
къали бухизе,БАРАБАНИТЬ,,
къали кьабун,АУКЦИОННЫЙ,,
къали кьабун,АУКЦИОН,,
къаркъала сун,АНАТОМИРОВАТЬ,,
къасд ккезабулеб,АППЕТИТНЫЙ,,
къатIипа,БАРХАТ,,
къатIипа гIадаб,БАРХАТИСТЫЙ,,
къатIипадул,БАРХАТНЫЙ,,
къатIипадулаб,БАРХАТНЫЙ,,
къимат кьезе,АТТЕСТОВАТЬ,,
къимат кьей  аттестация,АТТЕСТАЦИЯ,,
къолол,БАРАБАННЫЙ,,
къололаб,БАРАБАННЫЙ,,
къолохъан,БАРАБАНЩИК,,
къотIун нахъе рехизе,АМПУТИРОВАТЬ,,
лазат гьечIолъи,БАНАЛЬНОСТЬ,,
лакълакъ,АИСТ,,
ламартаб иш,АФЁРА,,
ле,АУ,,
леледизе,АУКАТЬ,,
лоти,БАБНИК,,
лъадал рахъ,АРЫК,,
лъамамеседги металлги цадахъ биине,АМАЛЬГАМИРОВАТЬ,,
лъидехунниги- сундехунниги хитIаб гьабизе,АДРЕСОВАТЬСЯ,,
лъикIаблъун рикIкIине,АПРОБИРОВАТЬ,,
лъим бачараб рахъ,АРЫК,,
лъимер кьижизабизе,БАЮКАТЬ,,
лъимер тIами,АБОРТ,,
лъимер тIамизаби,АБОРТ,,
лъугIизе те,БАСТА,,
магIарул,АВАРСКИЙ,,
магIарулав,АВАРЕЦ,,
магIарулазул,АВАРСКИЙ,,
магIарулай,АВАРКА,,
магIарулал,АВАРЦЫ,,
магIданиял лъиназдалъун дару гьабиялъул,БАЛЬНЕОЛОГИЧЕСКИЙ,,
магIна гьечIеб,АБСУРДНЫЙ,,
магIна гьечIеб жо,АБСУРД,,
магIна гьечIеб рагIи,АХИНЕЯ,,
макру,АФЁРА,,
макручи,АФЕРИСТ,,
макручIужу,АФЕРИСТКА,,
малаик,АНГЕЛ,,
малаикасулаб,АНГЕЛЬСКИЙ,,
малъараб гьабунгутIизе,АРТАЧИТЬСЯ,,
манапис,АМНИСТИЯ,,
манапис лъазаби,АМНИСТИРОВАНИЕ,,
манапис лъазабизе,АМНИСТИРОВАТЬ,,
маргьа-къисабалъ букIунеб гIадаб гIорхъолъа борчIараб,БАСНОСЛОВНЫЙ,,
марксизмалда данде чIараб,АНТИМАРКСИСТСКИЙ,,
мас.: аэроклуб,АЭРО-,,
масхарачи,БАЛАГУР,,
масхараялда гаргадизе,БАЛАГУРИТЬ,,
материализмалда данде чIараб,АНТИМАТЕРИАЛИСТИЧЕСКИЙ,,
махмар,БАРХАТ,,
махраж бахъи,АРТИКУЛЯЦИЯ,,
махI берцинаб,АРОМАТИЧЕСКИЙ,,
махI гьуинаб,АРОМАТИЧЕСКИЙ,,
машина бачине ругьун гьарулеб бакI,АВТОШКОЛА,,
машинабазул база,АВТОБАЗА,,
машинабазул нухлулаб,АВТОДОРОЖНЫЙ,,
машинаби гьарулеб завод,АВТОЗАВОД,,
машинаби лъезе бихьизабураб бакI,АВТОСТОЯНКА,,
машинаби риччаялъул къецал,АВТОГОНКИ,,
машинаби хьвадулел нухазул,АВТОДОРОЖНЫЙ,,
машинадул покрышка,АВТОПОКРЫШКА,,
машинаялъе жагъаллъи ккей,АВТОАВАРИЯ,,
машинаялъе хIажалъулел тIагIелал тIолеб,АВТОЗАПЧАСТИ,,
милитаризмалда дандечIей,АНТИМИЛИТАРИЗМ,,
милитаризмалде данде чIараб,АНТИМИЛИТАРИСТСКИЙ,,
миллаталда данде чIараб,АНТИНАЦИОНАЛЬНЫЙ,,
миллаталъе заралаб,АНТИНАЦИОНАЛЬНЫЙ,,
миллаталъе тушманаб,АНТИНАЦИОНАЛЬНЫЙ,,
михIраб  къурбан хъолеб бакI,АЛТАРЬ,,
могоро  балансир,БАЛАНСИР,,
мунпагIат,БАРЫШ,,
мурадал данде кколарел,АНТАГОНИСТИЧЕСКИЙ,,
мутIигIлъунгутIизе,АРТАЧИТЬСЯ,,
мухIканаб,АККУРАТНЫЙ,,
мухIканлъи  узданлъи,АККУРАТНОСТЬ,,
на чем кьучI тIамизе,БАЗИРОВАТЬСЯ,,
нагагьлъун,АВОСЬ,,
нагIана,АНАФЕМА,,
назуклъи,БАРСТВО,,
нахъарукъ,АМБАР,,
некIсияб,АРХАИЧНЫЙ,,
некIсияб,АРХАИЧЕСКИЙ,,
некIсияб ва къиматаб,АНТИКВАРНЫЙ,,
некIсияб хутIел,АТАВИЗМ,,
низам биххараб,АНОМАЛЬНЫЙ,,
низам биххи,АНОМАЛИЯ,,
низам хвараб,АНОМАЛЬНЫЙ,,
низам хвей,АРИТМИЯ,,
низам хвей,АНОМАЛИЯ,,
нилъуги кIкIван,БАКЕНБАРДЫ,,
нужумчи,АСТРОЛОГ,,
нужумчилъи,АСТРОЛОГИЯ,,
обществоялда данде чIараб,АНТИОБЩЕСТВЕННЫЙ,,
обществоялъе заралияб,АНТИОБЩЕСТВЕННЫЙ,,
обществоялъе тушманаб,АНТИОБЩЕСТВЕННЫЙ,,
огь,АХ,,
огь бачине,АХАТЬ,,
определениялъулаб,АТРИБУТИВНЫЙ,,
от арка,АРОК,,
от бак,БАЧОК,,
официалияб къагIидаялда цо жо лъикIаблъун рикIкIин,АПРОБАЦИЯ,,
падис,БАТИСТ,,
падисалъул,БАТИСТОВЫЙ,,
пайда,БАРЫШ,,
пайда гьечIеб жо,БАРАХЛО,,
палугьан,АКРОБАТ,,
палугьан,БАЛАНСЁР,,
палугьан,АКРОБАТКА,,
палугьанлъи,АКРОБАТИКА,,
палугьанлъиялъулаб,АКРОБАТИЧЕСКИЙ,,
палугьанчилъи,АКРОБАТИКА,,
палугьанчилъиялъулаб,АКРОБАТИЧЕСКИЙ,,
партиялда данде чIараб,АНТИПАРТИЙНЫЙ,,
партиялъе тушманаб,АНТИПАРТИЙНЫЙ,,
патриотлъиялда,АНТИПАТРИОТИЧЕСКИЙ,,
пачалихъалда данде чIараб,АНТИГОСУДАРСТВЕННЫЙ,,
пикраби,АНТИПОДЫ,,
пикру буссинабизе,АКЦЕНТИРОВАТЬ,,
питначи,АВАНТЮРИСТ,,
питначилъи,АВАНТЮРИЗМ,,
питначилъиялъулаб,АВАНТЮРНЫЙ,,
питначилъиялъулаб,АВАНТЮРИСТИЧЕСКИЙ,,
питначIужу,АВАНТЮРИСТКА,,
пишачи,АККОМПАНИАТОР,,
политикаялдаса нахъе кIанцIараб,АПОЛИТИЧНЫЙ,,
политикияб ишалдаса батIа кIанцIун чIараб,АПОЛИТИЧНЫЙ,,
политикияб ишалдаса нахъе кIанцIун чIей,АПОЛИТИЧНОСТЬ,,
пудари,БАХВАЛЬСТВО,,
пударизе,БАХВАЛИТЬСЯ,,
пударухъан,БАХВАЛ,,
рагъ,БАТАЛИЯ,,
рагъ бихьизабулеб,БАТАЛЬНЫЙ,,
рагъалда данде чIараб,АНТИВОЕННЫЙ,,
рагъи  балкон,БАЛКОН,,
рагъул хIакъалъулъ бугеб,БАТАЛЬНЫЙ,,
рагъухъан,АРМЕЕЦ,,
рагьтIа-теллъи  батракал,БАТРАЧЕСТВО,,
рагьтIател,БАТРАК,,
рагьтIател,БАТРАЧКА,,
рагьтIателал,БАТРАЧЕСТВО,,
ракI гIодоб чIвараб,АПАТИЧНЫЙ,,
ракI гъанцIулеб,АНТИПАТИЧНЫЙ,,
ракI гьечIолъи,АПАТИЯ,,
ракI свараб,АПАТИЧНЫЙ,,
ракI свин,АПАТИЯ,,
ракI цIорой,АПАТИЯ,,
ракIбангутIи,АНТИПАТИЯ,,
ракIгъанцIи,АНТИПАТИЯ,,
ракь хIалтIизабиялда хурхараб,АГРАРНЫЙ,,
ракьул цIулакьо,АРАХИС,,
расандизе,БАЛОВАТЬСЯ,,
рацIцIа-ракъалъи,АККУРАТНОСТЬ,,
рацIцIа-ракъалъи гьечIеб,АНТИСАНИТАРНЫЙ,,
рацIцIа-ракъалъиялъе данде кколареб,АНТИСАНИТАРНЫЙ,,
рекIел хIалтIул низам гьечIолъи,АРИТМИЯ,,
рекIкIчи,АФЕРИСТ,,
рекьарухъанлъиялъулаб,АГРАРНЫЙ,,
рекъа-решезабизе,АККЛИМАТИЗИРОВАТЬ,,
рекъа-решезе,АККЛИМАТИЗИРОВАТЬСЯ,,
рекъонгутIизе,АРТАЧИТЬСЯ,,
релълъараб,АНАЛОГИЧНЫЙ,,
релълъараблъун лъугьин 3. ассимиляция,АССИМИЛЯЦИЯ,,
релълъараблъун лъугьине,АССИМИЛИРОВАТЬСЯ,,
ретIа-къаялъул узданлъи,АККУРАТНОСТЬ,,
рецц-бакъчилъи,БАХВАЛЬСТВО,,
реццари,БАХВАЛЬСТВО,,
ритIухъ гьабизе,АПРОБИРОВАТЬ,,
риччазе,АМНИСТИРОВАТЬ,,
риччай,АМНИСТИРОВАНИЕ,,
рищи,БАЛЛОТИРОВКА,,
рокьукъаб,АНТИПАТИЧНЫЙ,,
рокьукълъи,АНТИПАТИЯ,,
рорхатал мугIрузул,АЛЬПИЙСКИЙ,,
росасе арай  лъади  чIужугIадан  цIукIа,БАБА,,
росдал,АУЛЬНЫЙ,,
росдал магIишаталъул рукIа-рахъиналда хурхараб,АГРОПРОМЫШЛЕННЫЙ,,
росдал совет,АУЛСОВЕТ,,
росу,АУЛ,,
ругьунлъизе,АККЛИМАТИЗИРОВАТЬСЯ,,
рухI щокъробе бахин,АГОНИЯ,,
руччабазда хадув лъугьунев чи,БАБНИК,,
руччабазул,БАБИЙ,,
руччабазулаб,БАБИЙ,,
сабаб,АМУЛЕТ,,
самолет боржунаго ккараб балагь,АВИАКАТАСТРОФА,,
самолет борти,АВИАКАТАСТРОФА,,
самолетаз поч баччи,АВИАПОЧТА,,
самолетал гьари,АВИАСТРОЕНИЕ,,
самолеталъе билет,АВИАБИЛЕТ,,
самолеталъул кумекалдалъун разведка гьаби,АВИАРАЗВЕДКА,,
санидул,БАРБАРИСОВЫЙ,,
си,БАШНЯ,,
сивул,БАШЕННЫЙ,,
сиетрия гьечIеб,АСИЕТРИЧЕСКИЙ,,
сий,АВТОРИТЕТ,,
симис,БАХРОМА,,
сипатияб,АТРИБУТИВНЫЙ,,
сиялъулаб,БАШЕННЫЙ,,
совет власталда данде чIараб,АНТИСОВЕТСКИЙ,,
совет власталдехун тушманлъи ккураб,АНТИСОВЕТСКИЙ,,
соно,БАРБАРИС,,
тажал,АНТИХРИСТ,,
тасдикъ гьабизе,АПРОБИРОВАТЬ,,
тахтадул,БАРАШКОВЫЙ,,
телеграа ва гь. ц. битIулев чи,АДРЕСАТ,,
теркIезе,БАРАХТАТЬСЯ,,
торг гьабун,АУКЦИОННЫЙ,,
тIабигIиял шартIазда рекъонккей,АККЛИМАТИЗАЦИЯ,,
тIаде вачIине изнукьей,АУДИЕНЦИЯ,,
тIаде къабул гьави,АУДИЕНЦИЯ,,
тIаса лъугьун,АМНИСТИРОВАНИЕ,,
тIаса лъугьун,АМНИСТИРОВАТЬ,,
тIатун лъазабизе,АФИШИРОВАТЬ,,
тIомол жанисеб рахъ,БАХТАРМА,,
тIубанго,АБСОЛЮТНО,,
туризе течIого,БАЛЬЗАМИРОВАТЬ,,
туснахъ,АРЕСТОВАННЫЙ,,
туснахъ,АРЕСТАНТКА,,
туснахъ,АРЕСТАНТ,,
туснахъ гьави,АРЕСТ,,
туснахъ гьавизе,АРЕСТОВАТЬ,,
туснахъ гьавурав,АРЕСТОВАННЫЙ,,
туснахъалда тIамурав чи,АРЕСТАНТ,,
туснахъалда тIамурай гIадан,АРЕСТАНТКА,,
тушманаб,АГРЕССИВНЫЙ,,
тушманаб къасд букIин,АГРЕССИВНОСТЬ,,
угьдизе,АХАТЬ,,
ункъбокIонаб чIалу,БАЛКА,,
унти лъангутIи,АНЕСТЕЗИЯ,,
фашизмалда данде чIараб,АНТИФАШИСТСКИЙ,,
фашизмалда данде чIарав,АНТИФАШИСТ,,
хайир,БАРЫШ,,
халатаб гIералда тIогьиб чIвараб гъармахъ,БАГОР,,
халатаб кIкIал,БАЛКА,,
халатаб халгIат,БАЛАХОН,,
халкъалда гьоркьоб агитация гьабулеб,АГИТМАССОВЫЙ,,
халкъалда данде чIараб,АНТИНАРОДНЫЙ,,
халкъалъе заралаб,АНТИНАРОДНЫЙ,,
халкъалъе тушманаб,АНТИНАРОДНЫЙ,,
халкъияв поэт-кочIохъан,АШУГ,,
харакат бахъи  хIаракат цIикIкIин,АКТИВИЗАЦИЯ,,
харж гьабизе,АССИГНОВАТЬ,,
хасиятал,АНТИПОДЫ,,
хашаб,АЛЯПОВАТЫЙ,,
хварав чиясул къаркъала,БАЛЬЗАМИРОВАТЬ,,
хвезабизе,АННУЛИРОВАТЬ,,
хехго гIун бачIунеб лъимер,АКСЕЛЕРАТ,,
хехго гьабулеб,АВРАЛЬНЫЙ,,
химиялъулал процессазул хIакъалъулъ бугеб астрономиялъул бутIа,АСТРОФИЗИКА,,
хисулел къватIисел шартIазде черх ругьунлъизабизе,АДАПТИРОВАТЬ,,
холесул чIаголъиялъулахириял гIаламатал,АГОНИЯ,,
хочI,АНЕКДОТ,,
хочI-хабар,БАСНЯ,,
хочIаб,АНЕКДОТИЧЕСКИЙ,,
хIавагIеч,АЙВА,,
хIавагIечул,АЙВОВЫЙ,,
хIавагIечулаб,АЙВОВЫЙ,,
хIавуз,БАССЕЙН,,
хIадари,АФФЕКТАЦИЯ,,
хIажилакълакъ,АИСТ,,
хIайваназул щинкIилалда тIадехунисеб рищи  бекI,БАБКА,,
хIайранлъизе,БАЛДЕТЬ,,
хIаким,АДМИНИСТРАТОР,,
хIакъикъаталда бугеб,АКТУАЛЬНЫЙ,,
хIакъикъияб гуреблъун гьабизе,АННУЛИРОВАТЬ,,
хIал бачIин,АФФЕКТ,,
хIалица ракь бахъи,АННЕКСИЯ,,
хIалица ракь бахъизе,АННЕКСИРОВАТЬ,,
хIалица ракь бахъиялъулаб,АННЕКСИОНИСТСКИЙ,,
хIалтIи рехун тезе,БАСТОВАТЬ,,
хIалтIулареб,АТРОФИРОВАННЫЙ,,
хIалтIунгутIи,АТРОФИЯ,,
хIамам,БАНЯ,,
хIамамалъул,БАННЫЙ,,
хIамамалъул хIалтIухъан,БАНЩИК,,
хIамамалъул хIалтIухъан,БАНЩИЦА,,
хIамамчи,БАНЩИК,,
хIамамчIужу,БАНЩИЦА,,
хIаракат бахъи,АКТИВНОСТЬ,,
хIаракат бахъун,АКТИВНО,,
хIаракат гьабун,АКТИВНО,,
хIаракат цикIкIине,АКТИВИЗИРОВАТЬСЯ,,
хIаракат цIикIкIинабизе,АКТИВИЗИРОВАТЬ,,
хIаракатаб,АКТИВНЫЙ,,
хIаракатчагIи,АКТИВ,,
хIаракатчи,АКТИВИСТ,,
хIаракатчилъи,АКТИВНОСТЬ,,
хIаракатчIужу,АКТИВИСТКА,,
хIехьезе кIолареб,АДСКИЙ,,
хIилла,АФЁРА,,
хIиллачи,АФЕРИСТ,,
хIиллачIужу,АФЕРИСТКА,,
хIисабгIелму,АРИФМЕТИКА,,
хIоржо,БАРАН,,
хIубазда тIад бараб чIухIараб ххамил тIадхъел,БАЛДАХИН,,
хIуби,БАЛКА,,
хIужжа,АРГУМЕНТ,,
хIужжа чIезабизе,АРГУМЕНТИРОВАТЬ,,
хIужжаби рачин,АРГУМЕНТАЦИЯ,,
хIукуматалда данде чIараб,АНТИПРАВИТЕЛЬСТВЕННЫЙ,,
хIурмат,АВТОРИТЕТ,,
хIурмат бугев,АВТОРИТЕТНЫЙ,,
хIурматаб,АВТОРИТЕТНЫЙ,,
художествияб махI гьечIеб,АНТИХУДОЖЕСТВЕННЫЙ,,
хурхен букIине,АССОЦИИРОВАТЬ,,
хурхен лъугьине,АССОЦИИРОВАТЬ,,
хух  тахта,БАРАШЕК,,
ххвелал гьари,АФФЕКТАЦИЯ,,
хъала,БАШНЯ,,
хъамалчагIи,БАНДА,,
хъантIараб,АЛЧНЫЙ,,
хъантIи,АЛЧНОСТЬ,,
хъарпуз,АРБУЗ,,
хъарпузалъул,АРБУЗНЫЙ,,
хъарт,БАБА-ЯГА,,
хъат кьабизе,АПЛОДИРОВАТЬ,,
хъат чIвазе,АПЛОДИРОВАТЬ,,
хъаткьаби,АПЛОДИСМЕНТЫ,,
хъатчIвай,АПЛОДИСМЕНТЫ,,
хъахIролъул ханждал бежараб гор,БАРАНКА,,
хъачагъ,БАНДИТ,,
хъачагъазул къокъа,БАНДА,,
хъачагъазулаб,БАНДИТСКИЙ,,
хъачагъал,БАНДА,,
хъачагълъи,БАНДИТИЗМ,,
хъил,АСФАЛЬТ,,
хъил тIезе,АСФАЛЬТИРОВАТЬ,,
хъил тIей,АСФАЛЬТИРОВАНИЕ,,
хъилалъул,АСФАЛЬТОВЫЙ,,
хъитI,БАЛКА,,
хьвада – чIвадиялъул тIалабазда данде кколареб,АМОРАЛЬНЫЙ,,
хьецIел,БАРДА,,
хьордой,АБСЦЕСС,,
хьул лъезабулеб,АППЕТИТНЫЙ,,
цебеккунго лъазабизе,АНОНСИРОВАТЬ,,
цебесеб пост,АВАНПОСТ,,
цебехъан,АВАНГАРД,,
цебехъанлъиялъулаб,АВАНГАРДНЫЙ,,
цересел греказул ва румазул тарихалда ва культураялда хурхараб,АНТИЧНЫЙ,,
цо бакI кьучIлъун гьабизе,БАЗИРОВАТЬ,,
цо гьабураб иш,АКТ,,
цо хIалалда чIоларев,БАЛАМУТ,,
цоцада релълъин,АНАЛОГИЯ,,
цощинаб,АВОСЬ,,
цIакъ кеп гьабизе,БАЛДЕТЬ,,
цIакъ тIагIамаб,АППЕТИТНЫЙ,,
цIал,АРАПНИК,,
цIалкIахараб,АЖУРНЫЙ,,
цIанлъара,АСКАРИДА,,
цIаргьечI,АНОНИМ,,
цIеха-рехон балагьизе,АНАЛИЗИРОВАТЬ,,
цIиркъ,БАРС,,
цIиркъил,БАРСОВЫЙ,,
цIиркъилаб,БАРСОВЫЙ,,
цIодорав,БАШКОВИТЫЙ,,
цIулал ведро,БАДЬЯ,,
цIунизе,АККУМУЛИРОВАТЬ,,
цIунизе,БАЛЬЗАМИРОВАТЬ,,
цунтур,АСКАРИДА,,
ццидахин,АФФЕКТ,,
чанагъалда гIосокартIал,АЛЬВЕОЛЫ,,
чарангьецIол,БАЗАЛЬТОВЫЙ,,
черх рахъ-рахъалде гьетIаризабун,БАЛАНСИРОВАТЬ,,
чи,БАЦИЛЛОНОСИТЕЛЬ,,
что баррикада гьабизе,БАРРИКАДИРОВАТЬ,,
что на чем базалъун гьабизе,БАЗИРОВАТЬ,,
что хIабургъинабизе,БАЛАМУТИТЬ,,
чIалабаз бараб,БАЛОЧНЫЙ,,
чIалабазул,БАЛОЧНЫЙ,,
чIалгIадисеб рагIи,АХИНЕЯ,,
чIалгIараб,БАНАЛЬНЫЙ,,
чIамучIаб,БАНАЛЬНЫЙ,,
чIамучIлъи,БАНАЛЬНОСТЬ,,
чIанда,АХИНЕЯ,,
чIанда,АХИНЕЯ,,
чIарахъан,АКУШЕРКА,,
чIарахъанасул,АКУШЕРСКИЙ,,
чIарахъанлъи,АКУШЕРСТВО,,
чIарахъанлъиялъул,АКУШЕРСКИЙ,,
чIва-чIвадизе,БАРАХТАТЬСЯ,,
чIван къотIараб гуреб,АБСТРАКТНЫЙ,,
чIемегIлъизе,БАРАХЛИТЬ,,
чIобогояб,АБСУРД,,
чIухIдари,АМБИЦИЯ,,
шавкъ,АЗАРТ,,
шавкъ щун гьабулеб,АЗАРТНЫЙ,,
шавкъалда,АЗАРТНО,,
шавкъалда гьабулеб,АЗАРТНЫЙ,,
шавкъияб,АЗАРТНЫЙ,,
щекъер унти,АНГИНА,,
щокъробе рухI бахараб хIалалда рукIине,АГОНИЗИРОВАТЬ,,
щокърол гарцIал гьорой,АНГИНА,,
эмен  кашиш,БАТЮШКА,,
эрмени халкъ,АРМЯНЕ,,
эрменияв,АРМЯНИН,,
эрменияй,АРМЯНКА,,
эрмениял,АРМЯНЕ,,
эрмениялъулаб,АРМЯНСКИЙ,,
яс,БАРЫШНЯ,,
ясгIадан,БАРЫШНЯ,,
яшавалде бахъинабизе кIолеб,АКТУАЛЬНЫЙ,,
